기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20211016~20211114

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-10-16,108,10.7,4.2,18.1
2021-10-17,108,5.6,1.3,10.8
2021-10-18,108,9.6,2.8,16.1
2021-10-19,108,10.9,7.1,15
2021-10-20,108,9.5,4.6,15.8
2021-10-21,108,9.8,4.9,16.2
2021-10-22,108,10.8,5.2,17.2
2021-10-23,108,11.4,5.7,18.4
2021-10-24,108,11.4,6,18.1
2021-10-25,108,11.7,6.3,17.6
2021-10-26,108,13,7.7,19
2021-10-27,108,13.4,9.8,18.1
2021-10-28,108,12.7,7.1,20
2021-10-29,108,14.6,10.5,20.6
2021-10-30,108,13.8,11,18
2021-10-31,108,14.1,9.2,20.3
2021-11-01,108,12.9,10.3,16.9
2021-11-02,108,11.5,7.9,16.9
2021-11-03,108,12.1,7.6,17.1
2021-11-04,108,12.1,8.4,16.3
2021-11-05,108,13,7.8,20.2
2021-11-06,108,14.1,8.8,21.3
2021-11-07,108,15.3,9.7,21.3
2021-11-08,108,8.6,4.5,15.5
2021-11-09,108,4.9,3,6.5
2021-11-10,108,4.2,0.7,7.7
2021-11-11,108,5.3,2.1,9.7
2021-11-12,108,4.5,1.3,8.6
2021-11-13,108,7.3,0.5,13.4
2021-11-14,108,11.3,7.8,16.4

